Enrollment Number,Day,Shift,Course,Slot,LHC NO.,Seat-Number
2022EL34246,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,B1
2022EL34247,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,C5
2022EL34248,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,C1
2022EL34249,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,E1
2022EL34250,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,A13
2022EL34251,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,A1
2022EL34252,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,E13
2022EL34253,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,D9
2022EL34254,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,B13
2022EL34255,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,E9
2022EL34256,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,D5
2022EL34257,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,A5
2022EL34258,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,D13
2022EL34259,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,B5
2022EL34260,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,D1
2022EL34261,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,A9
2022EL34262,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,C9
2022EL34263,Day 1,10:30AM-12:30AM,ELL700,D1S2,lh416,C13
2022ML34264,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,E1
2022ML34265,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,E5
2022ML34266,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,D5
2022ML34267,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,B5
2022ML34268,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,D9
2022ML34269,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,D1
2022ML34270,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,C5
2022ML34271,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,A13
2022ML34272,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,A9
2022ML34273,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,B9
2022ML34274,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,C9
2022ML34275,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,B1
2022ML34276,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,A5
2022ML34277,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,C1
2022ML34278,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,C13
2022ML34279,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,D13
2022ML34280,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,B13
2022ML34281,Day 1,10:30AM-12:30AM,MLL701,D1S2,lh410,A1
2022CT34282,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,E3
2022CT34283,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,F3
2022CT34284,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,A3
2022CT34285,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,C3
2022CT34286,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,B11
2022CT34287,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,E11
2022CT34288,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,B3
2022CT34289,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,C11
2022CT34290,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,D3
2022CT34291,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,D11
2022CT34292,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,D7
2022CT34293,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,A7
2022CT34294,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,C7
2022CT34295,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,B7
2022CT34296,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,E7
2022CT34297,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,A11
2022CT34298,Day 1,10:30AM-12:30AM,CTL703,D1S2,lh410,E15
2022EL34299,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,C1
2022EL34300,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,A5
2022EL34301,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,D9
2022EL34302,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,D1
2022EL34303,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,B1
2022EL34304,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,B13
2022EL34305,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,E1
2022EL34306,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,A1
2022EL34307,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,D5
2022EL34308,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,C9
2022EL34309,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,B9
2022EL34310,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,C13
2022EL34311,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,A13
2022EL34312,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,D13
2022EL34313,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,B5
2022EL34314,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,A9
2022EL34315,Day 1,10:30AM-12:30AM,ELL770,D1S2,lh408,C5
2022TX34316,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,E3
2022TX34317,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,A3
2022TX34318,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,D11
2022TX34319,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,D7
2022TX34320,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,B11
2022TX34321,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,B3
2022TX34322,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,C7
2022TX34323,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,A7
2022TX34324,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,A11
2022TX34325,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,B7
2022TX34326,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,D3
2022TX34327,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,C11
2022TX34328,Day 1,10:30AM-12:30AM,TXL722,D1S2,lh408,C3
2022PY34329,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,C5
2022PY34330,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,C1
2022PY34331,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,A13
2022PY34332,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,A1
2022PY34333,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,A5
2022PY34334,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,B3
2022PY34335,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,B7
2022PY34336,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,A9
2022PY34337,Day 1,10:30AM-12:30AM,PYL740,D1S2,lh318,B11
2022PY24246,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,F21
2022PY24247,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,J21
2022PY24248,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,F5
2022PY24249,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,E37
2022PY24250,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L5
2022PY24251,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,H29
2022PY24252,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,A21
2022PY24253,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,C21
2022PY24254,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,G1
2022PY24255,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,E17
2022PY24256,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K17
2022PY24257,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,H17
2022PY24258,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,J13
2022PY24259,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,B1
2022PY24260,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K45
2022PY24261,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,G9
2022PY24262,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K41
2022PY24263,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,E9
2022PY24264,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,H17
2022PY24265,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,A9
2022PY24266,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,F9
2022PY24267,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,I17
2022PY24268,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,C13
2022PY24269,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,F13
2022PY24270,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,L33
2022PY24271,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,L21
2022PY24272,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,F17
2022PY24273,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,J13
2022PY24274,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,A9
2022PY24275,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,G1
2022PY24276,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,H33
2022PY24277,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,F33
2022PY24278,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,J13
2022PY24279,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,C17
2022PY24280,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,J1
2022PY24281,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,J17
2022PY24282,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,E25
2022PY24283,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,G9
2022PY24284,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,F5
2022PY24285,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,C1
2022PY24286,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,H25
2022PY24287,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,C17
2022PY24288,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,F29
2022PY24289,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,L37
2022PY24290,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,J17
2022PY24291,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,A9
2022PY24292,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,D25
2022PY24293,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K9
2022PY24294,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,C21
2022PY24295,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,E17
2022PY24296,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,D29
2022PY24297,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,D13
2022PY24298,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,I21
2022PY24299,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,B5
2022PY24300,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,D1
2022PY24301,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,J9
2022PY24302,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,D5
2022PY24303,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,B25
2022PY24304,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,C29
2022PY24305,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,I25
2022PY24306,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,I13
2022PY24307,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,D5
2022PY24308,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,G1
2022PY24309,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,G5
2022PY24310,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,A29
2022PY24311,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,D1
2022PY24312,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L1
2022PY24313,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,H49
2022PY24314,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K21
2022PY24315,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,E17
2022PY24316,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,J17
2022PY24317,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,K37
2022PY24318,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,C5
2022PY24319,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,I45
2022PY24320,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,C9
2022PY24321,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,E1
2022PY24322,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,G13
2022PY24323,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,D9
2022PY24324,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,F21
2022PY24325,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,F13
2022PY24326,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,B9
2022PY24327,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,B9
2022PY24328,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,G29
2022PY24329,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,H25
2022PY24330,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,G29
2022PY24331,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,G13
2022PY24332,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,C17
2022PY24333,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,J5
2022PY24334,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,F5
2022PY24335,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,A25
2022PY24336,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,A21
2022PY24337,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,H9
2022PY24338,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,I33
2022PY24339,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,C9
2022PY24340,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,I29
2022PY24341,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,E5
2022PY24342,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,K9
2022PY24343,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,A13
2022PY24344,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh621,C3
2022PY24345,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,G13
2022PY24346,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,D9
2022PY24347,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,E17
2022PY24348,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,D21
2022PY24349,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,D1
2022PY24350,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,A9
2022PY24351,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,B9
2022PY24352,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,J29
2022PY24353,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,F29
2022PY24354,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,D33
2022PY24355,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,D5
2022PY24356,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,G41
2022PY24357,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,E33
2022PY24358,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,J1
2022PY24359,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,B13
2022PY24360,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,H17
2022PY24361,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,B33
2022PY24362,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L41
2022PY24363,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,J5
2022PY24364,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,E1
2022PY24365,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh621,A7
2022PY24366,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L9
2022PY24367,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,H5
2022PY24368,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,G17
2022PY24369,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,E9
2022PY24370,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,K41
2022PY24371,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,F9
2022PY24372,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,H17
2022PY24373,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,C1
2022PY24374,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,G13
2022PY24375,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,H9
2022PY24376,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,B17
2022PY24377,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,F5
2022PY24378,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,F37
2022PY24379,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,G29
2022PY24380,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,I5
2022PY24381,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,A13
2022PY24382,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,C25
2022PY24383,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,A9
2022PY24384,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,J33
2022PY24385,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,F1
2022PY24386,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,H1
2022PY24387,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,G5
2022PY24388,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,G25
2022PY24389,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,G17
2022PY24390,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L13
2022PY24391,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,I25
2022PY24392,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,C13
2022PY24393,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,F21
2022PY24394,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,B21
2022PY24395,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,B1
2022PY24396,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,B25
2022PY24397,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,F37
2022PY24398,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,G17
2022PY24399,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,C13
2022PY24400,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,D17
2022PY24401,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,I9
2022PY24402,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,I25
2022PY24403,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,F5
2022PY24404,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,C17
2022PY24405,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,I1
2022PY24406,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,F13
2022PY24407,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,I9
2022PY24408,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,J1
2022PY24409,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,H21
2022PY24410,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,I37
2022PY24411,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,H13
2022PY24412,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,A1
2022PY24413,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,C21
2022PY24414,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,B13
2022PY24415,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,F1
2022PY24416,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,H33
2022PY24417,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,E5
2022PY24418,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,E5
2022PY24419,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,D5
2022PY24420,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,H41
2022PY24421,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,E29
2022PY24422,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,B9
2022PY24423,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,C21
2022PY24424,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,H45
2022PY24425,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,F25
2022PY24426,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,I17
2022PY24427,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,A1
2022PY24428,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,J21
2022PY24429,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,D9
2022PY24430,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,H5
2022PY24431,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,H5
2022PY24432,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,F1
2022PY24433,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,A5
2022PY24434,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,J13
2022PY24435,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,B21
2022PY24436,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,E29
2022PY24437,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L45
2022PY24438,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,A9
2022PY24439,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,E21
2022PY24440,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,C9
2022PY24441,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,J25
2022PY24442,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,I9
2022PY24443,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,C13
2022PY24444,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,D1
2022PY24445,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L17
2022PY24446,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L53
2022PY24447,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,H17
2022PY24448,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,L45
2022PY24449,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,D33
2022PY24450,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,H5
2022PY24451,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,F41
2022PY24452,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,B9
2022PY24453,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,B5
2022PY24454,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,E21
2022PY24455,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,J37
2022PY24456,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,I17
2022PY24457,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K25
2022PY24458,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,I29
2022PY24459,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,I41
2022PY24460,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,E9
2022PY24461,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,K13
2022PY24462,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,G21
2022PY24463,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,D13
2022PY24464,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,G29
2022PY24465,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,I5
2022PY24466,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,B1
2022PY24467,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,G1
2022PY24468,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,J5
2022PY24469,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,H29
2022PY24470,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,H45
2022PY24471,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,D29
2022PY24472,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L49
2022PY24473,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,H21
2022PY24474,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,H5
2022PY24475,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,A5
2022PY24476,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,D21
2022PY24477,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,H21
2022PY24478,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh510,J5
2022PY24479,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,L25
2022PY24480,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,B29
2022PY24481,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh526,E9
2022PY24482,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh111,E13
2022PY24483,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,H17
2022PY24484,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,B5
2022PY24485,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh121,H9
2022PY24486,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K13
2022PY24487,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,K49
2022PY24488,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,H9
2022PY24489,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,G33
2022PY24490,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh527,D13
2022PY24491,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh114,J1
2022PY24492,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh325,I13
2022PY24493,Day 1,1:00PM-3:00PM,PYL101,D1S3,lh108,E13
